ID_CLIENTE,NOMBRE ,APELLIDOS,DIRECCIÓN,CIUDAD,ESTADO,CP,E_MAIL,FECHA_DE_NACIMIENTO,TELEFONO
1,Juan,Hernández Ortiz,Calle Convento de Churubusco 9867,Saltillo,Coahuila,58321,Juanito@yahoo.com,19860618,8444448899
2,Ezequiel,Ulloa Montes,Avenida Francisco I. Madero 458,Saltillo,Coahuila,58987,Ezequiel@hotmail.com,19880203,8445217896
3,Laura,Prima Gutiérrez,Calle Jose Maria Morelos 687,Saltillo,Coahuila,58879,Lauris@hotmail.com,19960922,8443692587
4,Sofia,Medrano Flores,Avenida Miguel Hidalgo 529,Ramos Arizpe,Coahuila,63014,Sofi@gmail.com,19901212,8427844512
5,Catalina,Herrera Ulloa,Avenida Altar456,Ramos Arizpe,Coahuila,63964,Cata@gmail.com,19821204,8424578390
6,Fidencio,Flores Mata,Calle Xilotepec 781,Ramos Arizpe,Coahuila,63001,Fide@gmail.com,19831119,8423812004
7,Sonia,Federico Blanco,Avenida Revolución 10247,Saltillo,Coahuila,58007,Sonia@hotmail.com,19800203,8440120306
8,Cristina,Martínez Ávalos,Calle 5 de Mayo 843,Saltillo,Coahuila,58471,Cris@hotmail.com,19801211,8443015879
9,Luisa,Hidrogo Alonso,Calle Zaragoza 807,Ramos Arizpe,Coahuila,63800,Luisa@hotmail.com,19901119,8423018090
10,Cristian,Medellin Alto,Calle Manuel Zamora Gutierrez,Ramos Arizpe,Coahuila,63284,Cristian_08@yahoo.com,19871019,8423001778
11,Francisco,Medrano Jaramillo,Calle Tuxpan 7895,Ramos Arizpe,Coahuila,63097,Fran@yahoo.com,19890907,8420001234
12,Gustavo,Jaramillo Valencia,Calle Rio Grande 1010,Saltillo,Coahuila,58741,Gus@hotmail.com,19931109,8442310203
13,Valeria,Villalobos Aldama,Calle Miguel Rebolledo 78941,Saltillo,Coahuila,58012,Vale@hotmail.com,19800920,8443020100
14,Adrián,Alverde Rios,Avenida Francisco I. Madero 400,Saltillo,Coahuila,58987,adrian@hotmail.com,19840228,8448446568
15,Juana,Villaseñor Cazares,Calle Xilotepec 781,Ramos Arizpe,Coahuila,63001,Juana@yahoo.com,19871111,8428410203
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
